typed_by_dry,typed_by_fresh,recorded_by_fresh,recorded_by_dry,record_date_ymd,process_date_dry_ymd,process_date_fresh_ymd,block ,pot_ID,treatment,above_fresh_g,above_dry_g,f_>_g,remarks
LB,KW,GX,LB,2018-09-28,2018-10-04,2018-10-03,B1,DASP-01,WW,4.00,1.0888,TRUE,
SK,SK,GX,SK,2018-10-01,2018-10-15,2018-10-01,B4,DASP-02,WD,1.58,0.5050,TRUE,
SK,SK,GX,SK,2018-10-01,2018-10-15,2018-10-01,B3,DASP-03,WD,4.17,1.0690,TRUE,
GX,GX,GX,GX,2018-10-02,2018-10-16,2018-10-02,B4,DASP-04,WW,4.09,1.2500,TRUE,
GX,GX,GX,GX,2018-10-02,2018-10-16,2018-10-02,B2,DASP-05,WW,4.28,1.3600,TRUE,
SK,SK,GX,SK,2018-10-15,2018-10-15,2018-10-15,B2,DASP-06,WD,2.92,0.8210,TRUE,No ABF name or date. (SK)
GX,GX,GX,GX,2018-10-02,2018-10-16,2018-10-02,B3,DASP-07,WW,1.21,0.4800,TRUE,
SK,SK,GX,GX,2018-09-24,2018-09-26,2018-09-24,B5,DASP-08,WD,1.51,0.3670,TRUE,assume that dry weight was taken at 9/26 (SK)
LB,KW,GX,LB,2018-09-28,2018-10-04,2018-10-03,B1,DASP-09,WW,1.97,0.7067,TRUE,
LB,KW,GX,LB,2018-09-28,2018-10-04,2018-10-03,B3,DASP-10,WW,6.00,1.9901,TRUE,
GX,GX,GX,GX,2018-10-02,2018-10-16,2018-10-02,B5,DASP-11,WW,3.81,1.2400,TRUE,
-,-,-,-,-,-,-,B1,DASP-12,WD,-,-,FALSE,dead plant
LB,KW,GX,LB,2018-09-28,2018-10-04,2018-10-03,B5,DASP-13,WW,2.00,0.6510,TRUE,
GX,GX,GX,GX,2018-10-02,2018-10-16,2018-10-02,B3,DASP-14,WD,5.89,1.7800,TRUE,
SK,SK,GX,SK,2018-10-02,2018-10-15,2018-10-02,B2,DASP-15,WD,0.66,0.1580,TRUE,
LB,KW,GX,LB,2018-09-28,2018-10-04,2018-10-03,B4,DASP-16,WW,6.00,1.5732,TRUE,Nothing in the bag. To be ruled out.
SK,SK,GX,SK,2018-10-02,2018-10-15,2018-10-02,B1,DASP-17,WW,2.25,0.6170,TRUE,
SK,SK,GX,SK,2018-10-01,2018-10-15,2018-10-01,B2,DASP-18,WW,1.81,0.6290,TRUE,
SK,SK,GX,SK,2018-10-01,2018-10-15,2018-10-01,B5,DASP-19,WD,3.18,1.0390,TRUE,
-,-,-,-,-,-,-,B4,DASP-20,WD,-,-,FALSE,dead plant
GK,GX,GX,GK,2018-10-10,2018-10-22,2018-10-10,B2,DEFL-01,WD,10,5.6100,TRUE,
GX,GX,GX,GX,2018-10-09,2018-10-22,2018-10-09,B1,DEFL-02,WW,8,3.8900,TRUE,
GX,GX,GX,GX,2018-10-09,2018-10-16,2018-10-09,B5,DEFL-03,WW,15,7.1500,TRUE,Changed dry weight from 8g to weight on the bag which is 7.15 (GK)
GK,GX,GX,GK,2018-10-10,2018-10-22,2018-10-10,B4,DEFL-04,WD,9,5.4100,TRUE,
GX,GX,GX,GX,2018-10-09,2018-10-22,2018-10-09,B3,DEFL-05,WW,17,8.6800,TRUE,
GX,GX,GX,GX,2018-10-09,2018-10-22,2018-10-09,B3,DEFL-06,WD,12,6.0500,TRUE,Block changed from B1 to B3 because bag has B3 on it (GK)
GX,GX,GX,GX,2018-10-09,-,2018-10-09,B5,DEFL-07,WD,11,5.2900,TRUE,Put GX signature for typed by dry and recorded by dry (GK)
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B5,DEFL-08,WD,12,7.0000,TRUE,
GK,GX,GX,GK,2018-10-10,2018-10-22,2018-10-10,B2,DEFL-09,WW,11,5.9300,TRUE,
GK,GX,SX,GK,2018-10-10,2018-10-22,2018-10-10,B3,DEFL-10,WD,8,4.1700,TRUE,
GK,GX,GX,GK,2018-10-09,2018-10-22,-,B4,DEFL-11,WW,12,6.0000,TRUE,
GX,GX,GX,GX,2018-10-09,2018-10-22,2018-10-09,B3,DEFL-12,WW,16,8.2200,TRUE,
GK,SK,GX,GK,2018-10-10,2018-10-22,2018-10-10,B1,DEFL-13,WD,10,5.1300,TRUE,
GK,GX,GX,GK,2018-10-09,2018-10-22,2018-10-09,B4,DEFL-14,WD,10,4.7600,TRUE,
GK,GX,LB,GK,2018-10-10,2018-10-22,2018-10-10,B1,DEFL-15,WW,7,3.8700,TRUE,"Record date is the date that is on the bag, i am unsure if the process date fresh is the same date, changed from WD to WW (GK)"
GX,GX,GX,GX,2018-10-09,2018-10-22,2018-10-09,B2,DEFL-16,WW,9,4.4800,TRUE,
GK,GX,GX,GK,2018-10-09,2018-10-22,2018-10-09,B5,DEFL-17,WW,12,6.0000,TRUE,
GK,GX,GX,GK,2018-10-09,2018-10-22,2018-10-09,B1,DEFL-18,WD,10,4.5800,TRUE,
GX,GX,GX,GX,2018-10-09,2018-10-22,2018-10-09,B5,DEFL-19,WW,12,6.3200,TRUE,
GK,GX,GX,GK,2018-10-10,2018-10-22,2018-10-10,B2,DEFL-20,WD,6,3.8600,TRUE,
-,-,-,-,-,-,-,B1,EMNI-01,WW,-,-,FALSE,dead plant
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B1,EMNI-02,WW,0.0269,0.0178,TRUE,
-,-,-,-,-,-,-,B5,EMNI-03,WD,-,-,FALSE,dead plant
-,-,-,-,-,-,-,B5,EMNI-04,WD,-,-,FALSE,dead plant
-,-,-,-,-,-,-,B3,EMNI-05,WD,-,-,FALSE,dead plant
LB,KW,GX,LB,2018-09-26,2018-10-04,2018-10-03,B5,EMNI-06,WW,0.0255,0.0189,TRUE,
-,-,-,-,-,-,-,B2,EMNI-07,WW,-,-,FALSE,dead plant
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B4,EMNI-08,WD,0.0149,0.0099,TRUE,"ABF on bag unclear, taken as 0.0149 g (LB)"
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B3,EMNI-09,WD,0.0283,0.0102,TRUE,
LB,KW,GX,LB,2018-09-25,2018-10-04,2018-10-03,B4,EMNI-10,WW,0.1054,0.0365,TRUE,date unclear on bag (KW)
-,-,-,-,-,-,-,B3,EMNI-11,WW,-,-,FALSE,dead plant
-,-,-,-,-,-,-,B1,EMNI-12,WD,-,-,FALSE,dead plant
LB,KW,GX,LB,2018-09-27,2018-10-04,2018-10-03,B1,EMNI-13,WD,0.0372,0.0202,TRUE,
LB,KW,GX,LB,2018-09-27,2018-10-04,2018-10-03,B4,EMNI-14,WD,0.0305,0.0159,TRUE,"changed from ""EMNI-04"" to ""EMNI-14""; typo (GX)"
-,-,-,-,-,-,-,B2,EMNI-15,WD,-,-,FALSE,dead plant
-,-,-,-,-,-,-,B3,EMNI-16,WW,-,-,FALSE,"dead plant; changed from ""EMNI-??"" to ""EMNI-16"""
