session,month,block ,pot_ID,treatment,height_cm,num_leaves,percent_cover,repr,remarks
1,7,B1,DASP-1,WD,6.5,55,15,Vg,
1,7,B3,DASP-10,WW,8.0,69,20.0,Vg,
1,7,B5,DASP-11,WW,5.5,39,4,Vg,
1,7,B1,DASP-12,WD,4.0,6,1,Vg,
1,7,B5,DASP-13,WW,5.5,35,5,Vg,
1,7,B3,DASP-14,WD,8.5,50,20,Vg,
1,7,B2,DASP-15,WD,4.5,13,5,Vg,
1,7,B4,DASP-16,WW,7.0,75,25,Vg,
1,7,B1,DASP-17,WW,7.5,45,15,Vg,
1,7,B2,DASP-18,WW,6.0,50,20,Vg,
1,7,B5,DASP-19,WD,6.5,32,5,Vg,
1,7,B4,DASP-2,WD,5,29,5,Vg,
1,7,B4,DASP-20,WD,2,9,1,Vg,
1,7,B3,DASP-3,WD,6,46,20,Vg,
1,7,B4,DASP-4,WW,6.0,38,10,Vg,
1,7,B2,DASP-5,WW,8.0,59,25,Vg,
1,7,B2,DASP-6,WD,7.5,35,20,Vg,
1,7,B3,DASP-7,WW,10.0,65,20.0,Vg,
1,7,B5,DASP-8,WD,4.1,14,2,Vg,
1,7,B1,DASP-9,WW,7.0,38,15,Vg,
1,7,B2,DEFL-1,WD,26.0,107,50,Bd,
1,7,B3,DEFL-10,WD,15,110,50,Vg,
1,7,B4,DEFL-11,WW,27.0,102,50,Vg,
1,7,B3,DEFL-12,WW,33.0,101,70.0,Vg,
1,7,B1,DEFL-13,WD,29.0,120,50,Bd,
1,7,B4,DEFL-14,WD,19,62,50,Bd,
1,7,B1,DEFL-15,WW,26.0,40,60,Bd,
1,7,B2,DEFL-16,WW,39.0,85,40,Vg,
1,7,B5,DEFL-17,WW,40.0,60,50,Bd,
1,7,B1,DEFL-18,WD,33.0,75,40,Bd,
1,7,B4,DEFL-19,WW,15.0,89,50,Vg,
1,7,B1,DEFL-2,WW,23.0,101,50,Bd,
1,7,B2,DEFL-20,WD,28.0,-,60,Bd,
1,7,B5,DEFL-3,WW,20.0,58,50,Bd,
1,7,B4,DEFL-4,WD,27,111,50,Vg,
1,7,B3,DEFL-5,WW,21,89,60.0,Bd,
1,7,B3,DEFL-6,WD,19.5,46,60,Vg,
1,7,B5,DEFL-7,WD,20,74,50,Vg,
1,7,B5,DEFL-8,WD,19.5,-,70,Bd,
1,7,B2,DEFL-9,WW,28.0,79,50,Bd,
1,7,B3,EMNI-16,WW,1.0,20,1.0,-,"changed from ""EMNI-??"" to ""EMNI-16"" (GX)"
1,7,B1,EMNI-1,WW,-,-,-,-,
1,7,B4,EMNI-10,WW,2.0,36,2,Vg,
1,7,B3,EMNI-11,WW,2.0,12,1.0,Vg,
1,7,B1,EMNI-12,WD,-,-,-,Sn,
1,7,B1,EMNI-13,WD,1.5,12,1,Vg,
1,7,B2,EMNI-15,WD,1.0,3,0.1,Vg,
1,7,B5,EMNI-17,WD,2,30,1,Vg,
1,7,B3,EMNI-18,WD,1.5,15,1,Vg,
1,7,B4,EMNI-18,WD,1,10,1,Vg,
1,7,B4,EMNI-19,WW,2.5,25,2,Vg,
1,7,B1,EMNI-2,WW,1.0,25,1,Vg,
1,7,B2,EMNI-20,WW,3.0,30,1,Vg,
1,7,B5,EMNI-3,WD,1.5,11,1,Vg,
1,7,B5,EMNI-4,WW,0.5,7,0.1,Vg,
1,7,B4,EMNI-4,WD,1.5,12,1,Vg,
1,7,B3,EMNI-5,WD,-,-,-,Sn,
1,7,B5,EMNI-6,WW,2.0,18,1,Vg,
1,7,B2,EMNI-7,WW,-,-,-,-,
1,7,B2,EMNI-9,WD,1.5,14,1,Vg,
1,7,B1,FERU-1,WD,16.5,89,30,Vg,
1,7,B5,FERU-10,WD,14.5,56,30,Vg,
1,7,B5,FERU-11,WW,16.5,77,30,Vg,
1,7,B2,FERU-12,WW,25.0,167,30,Vg,
1,7,B3,FERU-13,WD,19,156,40,Vg,
1,7,B2,FERU-14,WW,24.0,110,40,Vg,
1,7,B3,FERU-15,WD,17,54,30,Vg,
1,7,B1,FERU-16,WW,22.0,113,30,Vg,
1,7,B3,FERU-18,WW,20.5,103,30.0,Vg,
