Symbol,Family,Genus,Species,Authority,Common,Group,Native,Growth-form
PLMA,Plantaginaceae,Plantago,maritima,L.,Sea plantain,D,N,Forb
SOBI,Asteraceae,Solidago,bicolor,L.,White goldenrod,D,N,Forb
SYNO,Asteraceae,Symphyotrichum,novi-belgii,(L.) G.L.Nesom,New York Aster,D,N,Forb
DASP,Poaceae,Danthonia,spicata,(L.) Roem. & Schult.,Poverty grass,M,N,Graminoid
DEFL,Poaceae,Deschampia,flexuosa,(L.) Trin.,Wavy-hair grass,M,N,Graminoid
FERU,Poaceae,Festuca,rubra,L.,Red fescue,M,"I, N",Graminoid
VAMA,Ericaceae,Vaccinium,macrocarpon,Aiton (1789),Cranberry,D,N,Shrub
EMNI,Empetraceae,Empetrum,nigrum,L.,Black crowberry,D,N,Shrub
SITR,Rosaceae,Sibbaldiopsis,tridentata,(Sol.) Rydb,Three-toothed cinquefoil,D,N,Shrub
SEAL,Crassulaceae,Sedum,album,L.,White stonecrop,D,I,Succulent
SEAC,Crassulaceae,Sedum,acre,L.,Mossy stonecrop,D,I,Succulent
SESE,Crassulaceae,Sedum,sexangular,L.,Tasteless stonecrop,D,I,Succulent
