"","recorded_by_mdy","typed_by_mdy","session","block","pot_ID","treatment","sample_month","sample_day","sample_year","period","weight_lbs","weight_grams","remarks"
"1","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAC-11","WD",7,6,2018,"T1",3.49,1583,NA
"2","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DEFL-18","WD",7,6,2018,"T1",3.24,1470,NA
"3","GX - 07/06/2018","GX - 07/09/2018",1,"B1","EMNI-12","WD",7,6,2018,"T1",3.43,1556,NA
"4","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SC-15","WD",7,6,2018,"T1",2.87,1302,NA
"5","GX - 07/06/2018","GX - 07/09/2018",1,"B1","PLMA-16","WD",7,6,2018,"T1",3.32,1506,NA
"6","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DASP-1","WD",7,6,2018,"T1",3.46,1569,NA
"7","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SYNO-9","WD",7,6,2018,"T1",3.1,1406,NA
"8","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SOBI-17","WD",7,6,2018,"T1",2.94,1334,NA
"9","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SITR-5","WD",7,6,2018,"T1",3.44,1560,NA
"10","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SESE-20","WD",7,6,2018,"T1",3.67,1665,NA
"11","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAL-14","WD",7,6,2018,"T1",3.24,1470,NA
"12","GX - 07/06/2018","GX - 07/09/2018",1,"B1","VAMA-19","WD",7,6,2018,"T1",3.9,1769,NA
"13","GX - 07/06/2018","GX - 07/09/2018",1,"B1","FERU-5","WD",7,6,2018,"T1",3.09,1402,NA
"14","GX - 07/06/2018","GX - 07/09/2018",1,"B1","EMNI-13","WD",7,6,2018,"T1",3.92,1778,NA
"15","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SC-1","WD",7,6,2018,"T1",3.23,1465,NA
"16","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SOBI-5","WD",7,6,2018,"T1",2.86,1297,NA
"17","GX - 07/06/2018","GX - 07/09/2018",1,"B1","PLMA-10","WD",7,6,2018,"T1",3.41,1547,NA
"18","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SYNO-11","WD",7,6,2018,"T1",3.51,1592,NA
"19","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SESE-18","WD",7,6,2018,"T1",3.37,1529,NA
"20","GX - 07/06/2018","GX - 07/09/2018",1,"B1","VAMA-20","WD",7,6,2018,"T1",4.05,1837,NA
"21","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SITR-7","WD",7,6,2018,"T1",3.71,1683,NA
"22","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAL-4","WD",7,6,2018,"T1",3.01,1365,NA
"23","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAC-17","WD",7,6,2018,"T1",3.86,1751,NA
"24","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DASP-12","WD",7,6,2018,"T1",3.41,1547,NA
"25","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DEFL-13","WD",7,6,2018,"T1",3.1,1406,NA
"26","GX - 07/06/2018","GX - 07/09/2018",1,"B1","FERU-1","WD",7,6,2018,"T1",3.98,1805,NA
"27","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAC-11","WD",7,6,2018,"T2",4.18,1896,NA
"28","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DEFL-18","WD",7,6,2018,"T2",4.12,1869,NA
"29","GX - 07/06/2018","GX - 07/09/2018",1,"B1","EMNI-12","WD",7,6,2018,"T2",4.53,2055,NA
"30","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SC-15","WD",7,6,2018,"T2",3.59,1628,NA
"31","GX - 07/06/2018","GX - 07/09/2018",1,"B1","PLMA-16","WD",7,6,2018,"T2",4.02,1823,NA
"32","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DASP-1","WD",7,6,2018,"T2",4.09,1855,NA
"33","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SYNO-9","WD",7,6,2018,"T2",4.09,1855,NA
"34","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SOBI-17","WD",7,6,2018,"T2",3.82,1733,NA
"35","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SITR-5","WD",7,6,2018,"T2",4.47,2028,NA
"36","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SESE-20","WD",7,6,2018,"T2",4.05,1837,NA
"37","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAL-14","WD",7,6,2018,"T2",4.12,1869,NA
"38","GX - 07/06/2018","GX - 07/09/2018",1,"B1","VAMA-19","WD",7,6,2018,"T2",4.26,1932,NA
"39","GX - 07/06/2018","GX - 07/09/2018",1,"B1","FERU-5","WD",7,6,2018,"T2",4,1814,NA
"40","GX - 07/06/2018","GX - 07/09/2018",1,"B1","EMNI-13","WD",7,6,2018,"T2",4.7,2132,NA
"41","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SC-1","WD",7,6,2018,"T2",4.15,1882,NA
"42","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SOBI-5","WD",7,6,2018,"T2",3.71,1683,NA
"43","GX - 07/06/2018","GX - 07/09/2018",1,"B1","PLMA-10","WD",7,6,2018,"T2",4.46,2023,NA
"44","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SYNO-11","WD",7,6,2018,"T2",3.51,1592,NA
"45","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SESE-18","WD",7,6,2018,"T2",4.22,1914,NA
"46","GX - 07/06/2018","GX - 07/09/2018",1,"B1","VAMA-20","WD",7,6,2018,"T2",4.44,2014,NA
"47","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SITR-7","WD",7,6,2018,"T2",4.38,1987,NA
"48","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAL-4","WD",7,6,2018,"T2",3.83,1737,NA
"49","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAC-17","WD",7,6,2018,"T2",4.49,2037,NA
"50","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DASP-12","WD",7,6,2018,"T2",4.12,1869,NA
"51","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DEFL-13","WD",7,6,2018,"T2",4.24,1923,NA
"52","GX - 07/06/2018","GX - 07/09/2018",1,"B1","FERU-1","WD",7,6,2018,"T2",3.98,1805,NA
